WorkerId,HITId,TrialNum,Answer.Rating,Plausibility,Item,Input.trial
A27VFM67RPD2L5,3ECKRY5B1QWX5OTNX37J64ZF3XEZIN,33,7,plaus,1,The cop is arresting the criminal.
A27VFM67RPD2L5,3ECKRY5B1QWX5OTNX37J64ZF3XEZIN,37,3,implaus,2,The child is scolding the babysitter.
A27VFM67RPD2L5,3ECKRY5B1QWX5OTNX37J64ZF3XEZIN,18,7,plaus,3,The doctor is using a stethoscope on the patient.
A27VFM67RPD2L5,3ECKRY5B1QWX5OTNX37J64ZF3XEZIN,38,2,implaus,4,The grandmother is rescuing the fireman.
A27VFM67RPD2L5,3ECKRY5B1QWX5OTNX37J64ZF3XEZIN,26,1,implaus,5,The patient is treating the dentist.
A27VFM67RPD2L5,3ECKRY5B1QWX5OTNX37J64ZF3XEZIN,7,7,plaus,6,The ghost is frightening the girl.
A27VFM67RPD2L5,3ECKRY5B1QWX5OTNX37J64ZF3XEZIN,10,1,implaus,7,The baby is feeding the mother.
A27VFM67RPD2L5,3ECKRY5B1QWX5OTNX37J64ZF3XEZIN,20,7,plaus,8,The artist is painting the businessman.
A27VFM67RPD2L5,3ECKRY5B1QWX5OTNX37J64ZF3XEZIN,6,3,implaus,9,The bride is carrying the groom.
A27VFM67RPD2L5,3ECKRY5B1QWX5OTNX37J64ZF3XEZIN,15,2,implaus,10,The king is entertaining the jester.
A27VFM67RPD2L5,3ECKRY5B1QWX5OTNX37J64ZF3XEZIN,42,7,plaus,11,The lion is pouncing on the Safari guide.
A27VFM67RPD2L5,3ECKRY5B1QWX5OTNX37J64ZF3XEZIN,30,3,implaus,12,The model is taking a picture of the photographer.
A27VFM67RPD2L5,3ECKRY5B1QWX5OTNX37J64ZF3XEZIN,29,7,plaus,13,The pirate is kidnapping the princess.
A27VFM67RPD2L5,3ECKRY5B1QWX5OTNX37J64ZF3XEZIN,36,2,implaus,14,The bride is blessing the priest.
A27VFM67RPD2L5,3ECKRY5B1QWX5OTNX37J64ZF3XEZIN,16,7,plaus,15,The shark is biting the snorkeler.
A27VFM67RPD2L5,3ECKRY5B1QWX5OTNX37J64ZF3XEZIN,39,3,implaus,16,The student is lecturing to the professor.
A27VFM67RPD2L5,3ECKRY5B1QWX5OTNX37J64ZF3XEZIN,23,7,plaus,17,The vampire is biting the woman.
A27VFM67RPD2L5,3ECKRY5B1QWX5OTNX37J64ZF3XEZIN,21,1,implaus,18,The customer is serving the waiter.
A27VFM67RPD2L5,3ECKRY5B1QWX5OTNX37J64ZF3XEZIN,11,7,plaus,19,The lawyer is giving money to the beggar.
A27VFM67RPD2L5,3ECKRY5B1QWX5OTNX37J64ZF3XEZIN,2,7,plaus,20,The chef is cooking for the lady.
A27VFM67RPD2L5,3ECKRY5B1QWX5OTNX37J64ZF3XEZIN,9,2,implaus,21,The grandpa is dancing for the ballerina.
A27VFM67RPD2L5,3ECKRY5B1QWX5OTNX37J64ZF3XEZIN,4,7,plaus,22,The journalist is interviewng the sportsstar.
A27VFM67RPD2L5,3ECKRY5B1QWX5OTNX37J64ZF3XEZIN,17,1,implaus,23,The criminal is sentencing the judge.
A27VFM67RPD2L5,3ECKRY5B1QWX5OTNX37J64ZF3XEZIN,19,7,plaus,24,The father is pulling the child on the sled.
A27VFM67RPD2L5,3ECKRY5B1QWX5OTNX37J64ZF3XEZIN,32,3,implaus,25,The girl is giving Santa a present.
A27VFM67RPD2L5,3ECKRY5B1QWX5OTNX37J64ZF3XEZIN,3,7,plaus,26,The peasant is bowing to the queen.
A27VFM67RPD2L5,3ECKRY5B1QWX5OTNX37J64ZF3XEZIN,1,4,implaus,27,The athlete is applauding the lady.
A27VFM67RPD2L5,3ECKRY5B1QWX5OTNX37J64ZF3XEZIN,8,7,plaus,28,The father is tying the son's shoes.
A27VFM67RPD2L5,3ECKRY5B1QWX5OTNX37J64ZF3XEZIN,34,2,implaus,29,The grandma is stealing the purse from the thief.
A27VFM67RPD2L5,3ECKRY5B1QWX5OTNX37J64ZF3XEZIN,27,3,implaus,30,The mouse is chasing the cat.
A27VFM67RPD2L5,3ECKRY5B1QWX5OTNX37J64ZF3XEZIN,41,7,plaus,31,The visitor is pushing the patient.
A27VFM67RPD2L5,3ECKRY5B1QWX5OTNX37J64ZF3XEZIN,12,1,implaus,32,The patient is bringing flowers to the relative.
A27VFM67RPD2L5,3ECKRY5B1QWX5OTNX37J64ZF3XEZIN,24,7,plaus,33,The boss is yelling at the worker.
A27VFM67RPD2L5,3ECKRY5B1QWX5OTNX37J64ZF3XEZIN,25,1,implaus,34,The blind person is leading the dog.
A27VFM67RPD2L5,3ECKRY5B1QWX5OTNX37J64ZF3XEZIN,5,7,plaus,35,The bouncer is preventing the woman from entering.
A27VFM67RPD2L5,3ECKRY5B1QWX5OTNX37J64ZF3XEZIN,22,1,implaus,36,The girl is licking the dog on the face.
A27VFM67RPD2L5,3ECKRY5B1QWX5OTNX37J64ZF3XEZIN,13,7,plaus,37,The man is proposing to the woman.
A27VFM67RPD2L5,3ECKRY5B1QWX5OTNX37J64ZF3XEZIN,28,2,implaus,38,The princess is measuring the tailor.
A27VFM67RPD2L5,3ECKRY5B1QWX5OTNX37J64ZF3XEZIN,31,7,plaus,39,The lifeguard is saving the grandmother.
A27VFM67RPD2L5,3ECKRY5B1QWX5OTNX37J64ZF3XEZIN,40,7,plaus,40,The chauffeur is opening the door for the lady.
A2M5OXOREG5HYY,33TGB4G0LPHY979JQXI2NQLD6EWTX1,13,3,implaus,1,The criminal is arresting the cop.
